Year,Category,Arrivals
2006,Business or Employment,742230
2006,Education ,290280
2006,Personal,4058360
2007,Business or Employment,789720
2007,Education ,304670
2007,Personal,4083560
2008,Business or Employment,805960
2008,Education ,310990
2008,Personal,3989890
2009,Business or Employment,720200
2009,Education ,340340
2009,Personal,4097640
2010,Business or Employment,808370
2010,Education ,365460
2010,Personal,4258670
2011,Business or Employment,867270
2011,Education ,370470
2011,Personal,4173150
2012,Business or Employment,884900
2012,Education ,370900
2012,Personal,4428530
2013,Business or Employment,864990
2013,Education ,372740
2013,Personal,4767200
2014,Business or Employment,880770
2014,Education ,380030
2014,Personal,5141610
2015,Business or Employment,919100
2015,Education ,459520
2015,Personal,5565990
2016,Business or Employment,891190
2016,Education ,501560
2016,Personal,6330360
2017,Business or Employment,916480
2017,Education ,560060
2017,Personal,6784040
2018,Business or Employment,901260
2018,Education ,600550
2018,Personal,7130000
2019,Business or Employment,891440
2019,Education ,620420
2019,Personal,7321640
2020,Business or Employment,187590
2020,Education ,180260
2020,Personal,1341850
2021,Business or Employment,43680
2021,Education ,8400
2021,Personal,169380
