State,Year,Expend_Mil
NSW,2006,"7,508"
NSW,2007,"7,920"
NSW,2008,"8,169"
NSW,2009,"7,644"
NSW,2010,"8,209"
NSW,2011,"8,107"
NSW,2012,"8,431"
NSW,2013,"9,056"
NSW,2014,"9,748"
NSW,2015,"11,272"
NSW,2016,"12,429"
NSW,2017,"13,100"
NSW,2018,"13,956"
NSW,2019,"9,998"
NSW,2020,386
NSW,2021,"1,960"
VIC,2006,"4,225"
VIC,2007,"4,441"
VIC,2008,"4,719"
VIC,2009,"4,956"
VIC,2010,"5,480"
VIC,2011,"5,607"
VIC,2012,"5,950"
VIC,2013,"6,517"
VIC,2014,"7,305"
VIC,2015,"8,508"
VIC,2016,"9,357"
VIC,2017,"10,119"
VIC,2018,"10,811"
VIC,2019,"8,326"
VIC,2020,140
VIC,2021,"1,875"
QLD,2006,"5,485"
QLD,2007,"5,573"
QLD,2008,"5,845"
QLD,2009,"5,528"
QLD,2010,"5,202"
QLD,2011,"5,329"
QLD,2012,"5,492"
QLD,2013,"5,541"
QLD,2014,"6,159"
QLD,2015,"6,699"
QLD,2016,"6,881"
QLD,2017,"7,517"
QLD,2018,"7,933"
QLD,2019,"6,045"
QLD,2020,181
QLD,2021,"2,129"
SA,2006,755
SA,2007,930
SA,2008,920
SA,2009,"1,027"
SA,2010,"1,125"
SA,2011,"1,048"
SA,2012,"1,155"
SA,2013,"1,122"
SA,2014,"1,162"
SA,2015,"1,327"
SA,2016,"1,452"
SA,2017,"1,569"
SA,2018,"1,494"
SA,2019,"1,211"
SA,2020,34
SA,2021,120
WA,2006,"2,187"
WA,2007,"2,562"
WA,2008,"2,429"
WA,2009,"2,534"
WA,2010,"2,667"
WA,2011,"2,923"
WA,2012,"3,070"
WA,2013,"3,013"
WA,2014,"3,037"
WA,2015,"3,013"
WA,2016,"3,189"
WA,2017,"2,916"
WA,2018,"2,974"
WA,2019,"2,312"
WA,2020,23
WA,2021,485
TAS,2006,395
TAS,2007,388
TAS,2008,417
TAS,2009,407
TAS,2010,376
TAS,2011,378
TAS,2012,388
TAS,2013,377
TAS,2014,452
TAS,2015,536
TAS,2016,632
TAS,2017,790
TAS,2018,756
TAS,2019,551
TAS,2020,5
TAS,2021,44
NT,2006,698
NT,2007,634
NT,2008,747
NT,2009,651
NT,2010,664
NT,2011,547
NT,2012,638
NT,2013,605
NT,2014,685
NT,2015,609
NT,2016,679
NT,2017,616
NT,2018,660
NT,2019,532
NT,2020,8
NT,2021,40
ACT,2006,273
ACT,2007,298
ACT,2008,285
ACT,2009,343
ACT,2010,421
ACT,2011,431
ACT,2012,478
ACT,2013,443
ACT,2014,454
ACT,2015,506
ACT,2016,612
ACT,2017,760
ACT,2018,740
ACT,2019,454
ACT,2020,14
ACT,2021,46
Total,2006,"21,526"
Total,2007,"22,745"
Total,2008,"23,530"
Total,2009,"23,090"
Total,2010,"24,143"
Total,2011,"24,369"
Total,2012,"25,601"
Total,2013,"26,675"
Total,2014,"29,001"
Total,2015,"32,470"
Total,2016,"35,229"
Total,2017,"37,386"
Total,2018,"39,325"
Total,2019,"29,428"
Total,2020,791
Total,2021,"6,698"
